"","X","Station.Name","lat","lon","fcc.url","getURL","Block.FIPS","County.FIPS","County.name","State.FIPS","State.code","State.name",".attrs.status",".attrs.executionTime","messages"
"1354",1446,"NELSON POLICE DEPT",49.4905091,-117.2946895,"http://data.fcc.gov/api/block/find?latitude=49.4905091&longitude=-117.2946895&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""90""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","90",NA
"1596",1705,"RATHDRUM POLICE DEPT",52.9323123,-6.2311012,"http://data.fcc.gov/api/block/find?latitude=52.9323123&longitude=-6.2311012&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""83""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","83",NA
"1610",1720,"ABINGDON POLICE DEPT",51.6701501,-1.2989223,"http://data.fcc.gov/api/block/find?latitude=51.6701501&longitude=-1.2989223&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""134""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","134",NA
"1646",1757,"CAVE-IN-ROCK POLICE DEPT",17.4084837,78.3636955,"http://data.fcc.gov/api/block/find?latitude=17.4084837&longitude=78.3636955&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""162""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","162",NA
"1754",1871,"ISLAND LAKE POLICE DEPT",6.9274247,79.8491936,"http://data.fcc.gov/api/block/find?latitude=6.9274247&longitude=79.8491936&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""161""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","161",NA
"1859",1980,"PARK CITY POLICE DEPT",32.9853985,70.606395,"http://data.fcc.gov/api/block/find?latitude=32.9853985&longitude=70.606395&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""168""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","168",NA
"1864",1985,"PEKIN PARK DISTRICT",40.213171,117.255176,"http://data.fcc.gov/api/block/find?latitude=40.213171&longitude=117.255176&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""77""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","77",NA
"1934",2056,"TAMPICO POLICE DEPT",22.2331041,-97.861099,"http://data.fcc.gov/api/block/find?latitude=22.2331041&longitude=-97.861099&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""1161""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","1161",NA
"1940",2062,"TOWER LAKES POLICE DEPT",17.4236046,78.4614739,"http://data.fcc.gov/api/block/find?latitude=17.4236046&longitude=78.4614739&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""159""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","159",NA
"2032",2157,"FORT BRANCH POLICE DEPT",17.3771852,78.4261419,"http://data.fcc.gov/api/block/find?latitude=17.3771852&longitude=78.4261419&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""74""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","74",NA
"2050",2175,"HAMLET POLICE DEPT",52.6247028,1.3158508,"http://data.fcc.gov/api/block/find?latitude=52.6247028&longitude=1.3158508&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""82""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","82",NA
"2114",2245,"NORTH MANCHESTER POLICE DEPT",53.5021599,-2.2007128,"http://data.fcc.gov/api/block/find?latitude=53.5021599&longitude=-2.2007128&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""80""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","80",NA
"2151",2285,"SOUTH BEND POLICE DEPT",21.4216825,109.1222199,"http://data.fcc.gov/api/block/find?latitude=21.4216825&longitude=109.1222199&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""137""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","137",NA
